General Environment   : KPFM.Scenario01
Polygons              : 1
Trials                : 1
Years per Trial       : 51
Records before series : 1
First Year            : 1950
Last Year             : 2000
Times In Year         : 12
Data
Scenario,Year,APPA
1,1949,0,0.409098163330815
1,1950,0.0849315068493151,0.216140567366058
1,1950,0.167123287671233,0.0698929436860554
1,1950,0.252054794520548,0.00151348799897444
1,1950,0.334246575342466,0
1,1950,0.419178082191781,0.000936211199891468
1,1950,0.501369863013699,0.817554257119613
1,1950,0.583561643835616,2.37759560167
1,1950,0.668493150684932,3.15967724774107
1,1950,0.750684931506849,3.15967724774107
1,1950,0.835616438356164,3.01277407772022
1,1950,0.917808219178082,2.49740932862742
1,1950,1,1.74272266768461
1,1951,0.0849315068493151,0.920740056831903
1,1951,0.167123287671233,0.297737873671157
1,1951,0.252054794520548,0.006447327510851
1,1951,0.334246575342466,0
1,1951,0.419178082191781,0.000562596512469556
1,1951,0.501369863013699,0.491292107874221
1,1951,0.583561643835616,1.4287662802128
1,1951,0.668493150684932,1.89874186541947
1,1951,0.750684931506849,1.89874186541947
1,1951,0.835616438356164,1.81046348215079
1,1951,0.917808219178082,1.50076583003664
1,1951,1,1.04725268737937
1,1952,0.0849315068493151,0.553299453077147
1,1952,0.167123287671233,0.178919339329537
1,1952,0.252054794520548,0.00387438643414466
1,1952,0.334246575342466,0
1,1952,0.419178082191781,0.000739158910144783
1,1952,0.501369863013699,0.645476697722496
1,1952,0.583561643835616,1.87716294560368
1,1952,0.668493150684932,2.49463325275355
1,1952,0.750684931506849,2.49463325275355
1,1952,0.835616438356164,2.37865003543889
1,1952,0.917808219178082,1.97175846405988
1,1952,1,1.37591708781063
1,1953,0.0849315068493151,0.726944109420408
1,1953,0.167123287671233,0.235070465122731
1,1953,0.252054794520548,0.00509030395793125
1,1953,0.334246575342466,0
1,1953,0.419178082191781,0.000487457521127527
1,1953,0.501369863013699,0.425676355515703
1,1953,0.583561643835616,1.23794380837158
1,1953,0.668493150684932,1.64515062298492
1,1953,0.750684931506849,1.64515062298492
1,1953,0.835616438356164,1.56866248108655
1,1953,0.917808219178082,1.30032727734363
1,1953,1,0.907384222385687
1,1954,0.0849315068493151,0.479402153870973
1,1954,0.167123287671233,0.155023317241182
1,1954,0.252054794520548,0.00335693301543613
1,1954,0.334246575342466,0
1,1954,0.419178082191781,0.000258329350089945
1,1954,0.501369863013699,0.225588264623902
1,1954,0.583561643835616,0.656051462135173
1,1954,0.668493150684932,0.871851746697285
1,1954,0.750684931506849,0.871851746697285
1,1954,0.835616438356164,0.831316661833913
1,1954,0.917808219178082,0.689111739795121
1,1954,1,0.480870570852143
1,1955,0.0849315068493151,0.254060387774402
1,1955,0.167123287671233,0.0821550002943231
1,1955,0.252054794520548,0.00177901516868015
1,1955,0.334246575342466,0
1,1955,0.419178082191781,0.000185051834850319
1,1955,0.501369863013699,0.161598061833924
1,1955,0.583561643835616,0.469956382354842
1,1955,0.668493150684932,0.624542915420231
1,1955,0.750684931506849,0.624542915420231
1,1955,0.835616438356164,0.595505983197204
1,1955,0.917808219178082,0.493638805739968
1,1955,1,0.344467175064413
1,1956,0.0849315068493151,0.181993803275033
